,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,Iddate,Idchg,machg,TradingDate_x,Symbol_x,ShortName,PE,PB,PS,Turnover,Liquidility,Symbol_y,TradingDate_y,Volatility,Beta1,Cor1,NonSysRisk1,Rsq1,ARsq1,time
0,603703.SH,20160420,59.45,59.88,54.5,55.03,59.45,-4.42,-7.43,21726.95,123151.783,20160420,-2.3083,-0.057617255155531844,20160420,603703,盛洋科技,144.40693,9.575465,14.031625,0.09447,0.000247,,,,,,,,,0
1,603703.SH,20160421,55.0,55.5,53.11,53.16,55.03,-1.87,-3.4,9769.66,53321.774,20160421,-0.6625,-0.028846819735707352,20160421,603703,盛洋科技,139.499771,9.250076,13.554809,0.04248,0.000275,,,,,,,,,1
2,603703.SH,20160422,52.0,52.9,51.51,52.53,53.16,-0.63,-1.19,13808.67,71904.952,20160422,0.215,0.012516795595966634,20160422,603703,盛洋科技,137.846557,9.140454,13.394171,0.06004,0.000267,,,,,,,,,2
3,603703.SH,20160425,51.78,54.65,50.5,53.87,52.53,1.34,2.55,13636.85,70404.008,20160425,-0.4248,-0.008481855271634475,20160425,603703,盛洋科技,141.362917,9.37362,13.735846,0.03554,0.000273,,,,,,,,,3
4,603703.SH,20160426,53.05,55.3,52.8,54.76,53.87,0.89,1.65,17194.16,93522.827,20160426,0.6119,0.021777763623045843,20160426,603703,盛洋科技,143.69841,9.528484,13.96278,0.04481,0.000267,,,,,,,,,4
5,603703.SH,20160427,54.75,54.76,51.61,51.98,54.76,-2.78,-5.08,26372.45,139561.34,20160427,-0.372,-0.008060393731220805,20160427,603703,盛洋科技,136.403275,9.044751,13.253931,0.06874,0.000273,,,,,,,,,5
6,603703.SH,20160428,51.49,51.87,49.49,50.79,51.98,-1.19,-2.29,24157.61,121058.797,20160428,-0.2736,-0.0008618832148247213,20160428,603703,盛洋科技,133.280537,8.837686,12.950504,0.06296,0.000268,,,,,,,,,6
7,603703.SH,20160429,50.5,51.5,50.05,50.12,50.79,-0.67,-1.32,12532.85,63504.898,20160429,-0.2466,-0.0006047478880103485,20160429,603703,盛洋科技,131.522357,8.721103,12.779666,0.03267,0.000265,603703.0,20160429,1.005336,1.366565,0.599963,0.361407,0.359955,0.357374,7
8,603703.SH,20160503,50.8,55.13,50.11,55.13,50.12,5.01,10.0,30930.85,165256.511,20160503,1.8486,0.045330764528260126,20160503,603703,盛洋科技,144.669345,9.592865,14.057123,0.08062,0.000605,603703.0,20160503,1.005333,1.377198,0.6053,0.368048,0.366389,0.363834,8
9,603703.SH,20160504,55.13,60.5,55.13,57.07,55.13,1.94,3.52,41623.03,240861.567,20160504,-0.0458,0.004417231829508594,20160504,603703,盛洋科技,149.760194,9.930434,14.551786,0.10849,0.000375,603703.0,20160504,1.001666,1.369822,0.603265,0.362851,0.363929,0.361364,9
10,603703.SH,20160505,58.39,59.5,57.04,59.23,57.07,2.16,3.78,43930.57,256761.12,20160505,0.2196,0.011852201493181447,20160505,603703,盛洋科技,155.428357,10.306283,15.102546,0.1145,0.000299,603703.0,20160505,0.998048,1.379185,0.609324,0.367441,0.371275,0.36874,10
11,603703.SH,20160506,59.18,61.38,57.2,57.68,59.23,-1.55,-2.62,49969.39,297291.282,20160506,-2.8218,-0.05294813870648307,20160506,603703,盛洋科技,151.360925,10.036577,14.707325,0.13024,0.000247,603703.0,20160506,0.994284,1.376881,0.611983,0.367834,0.374523,0.372001,11
12,603703.SH,20160509,58.5,58.89,55.9,58.11,57.68,0.43,0.75,28195.19,163233.828,20160509,-2.785,-0.04157829276645897,20160509,603703,盛洋科技,152.489309,10.111398,14.816967,0.07349,0.000206,603703.0,20160509,0.99,1.373494,0.614459,0.367568,0.37756,0.37505,12
13,603703.SH,20160510,56.9,57.89,55.03,57.37,58.11,-0.74,-1.27,19969.3,113124.047,20160510,0.0169,0.00019434152702291208,20160510,603703,盛洋科技,150.547439,9.982635,14.628281,0.05205,0.000191,603703.0,20160510,0.985777,1.369866,0.615398,0.365511,0.378714,0.376209,13
14,603703.SH,20160511,57.77,58.0,55.49,56.34,57.37,-1.03,-1.8,16878.66,95722.177,20160511,0.157,-0.027792228956820098,20160511,603703,盛洋科技,147.844565,9.803411,14.36565,0.04399,0.00019,603703.0,20160511,0.981594,1.400251,0.629181,0.37879,0.395868,0.393432,14
15,603703.SH,20160512,55.81,56.2,53.01,55.55,56.34,-0.79,-1.4,15533.66,85360.209,20160512,-0.0414,-0.003183469395725891,20160512,603703,盛洋科技,145.771488,9.665947,14.164215,0.04049,0.000187,603703.0,20160512,0.977264,1.409033,0.635604,0.383114,0.403993,0.401589,15
16,603703.SH,20160513,55.55,56.4,54.75,55.58,55.55,0.03,0.05,12300.72,68673.019,20160513,-0.3087,0.0016257237468932928,20160513,603703,盛洋科技,145.850212,9.671167,14.171864,0.03206,0.000167,603703.0,20160513,0.971337,1.399656,0.63402,0.376701,0.401981,0.39957,16
17,603703.SH,20160516,55.02,61.14,54.5,61.14,55.58,5.56,10.0,40892.32,242558.923,20160516,0.8402,0.02889131107612375,20160516,603703,盛洋科技,160.440482,10.638632,15.589561,0.10658,0.000192,603703.0,20160516,0.971329,1.396945,0.631695,0.374142,0.399039,0.396616,17
18,603703.SH,20160517,62.0,63.89,60.01,60.3,61.14,-0.84,-1.37,38723.82,240911.146,20160517,-0.2518,-0.0022691603452784648,20160517,603703,盛洋科技,158.236196,10.492468,15.375376,0.10093,0.000179,603703.0,20160517,0.966958,1.388567,0.628846,0.367349,0.395448,0.39301,18
19,603703.SH,20160518,59.0,60.25,57.39,59.07,60.3,-1.23,-2.04,26230.83,154220.847,20160518,-1.2719,-0.03905671383534459,20160518,603703,盛洋科技,155.008493,10.278443,15.061749,0.06837,0.000175,603703.0,20160518,0.962639,1.382754,0.629026,0.364188,0.395674,0.393237,19
20,603703.SH,20160519,59.96,64.98,59.9,64.98,59.07,5.91,10.01,63779.33,407249.818,20160519,-0.0217,0.014293410199184065,20160519,603703,盛洋科技,170.517214,11.306809,16.568689,0.16623,0.000181,603703.0,20160519,0.962639,1.385263,0.630041,0.365517,0.396951,0.39452,20
21,603703.SH,20160520,64.98,67.57,63.01,67.28,64.98,2.3,3.54,62691.04,407105.699,20160520,0.6618,0.029715263215980947,20160520,603703,盛洋科技,176.552758,11.707019,17.155146,0.1634,0.000174,603703.0,20160520,0.958598,1.386342,0.633466,0.366273,0.401279,0.398864,21
22,603703.SH,20160523,26.76,29.28,26.35,28.33,26.76,1.57,5.87,74377.64,207843.037,20160523,0.6428,0.023982317946457776,20160523,603703,盛洋科技,185.855366,12.323865,18.059055,0.07754,0.000348,603703.0,20160523,0.955587,1.397306,0.640439,0.371919,0.410163,0.407784,22
23,603703.SH,20160524,26.55,27.34,25.5,25.55,28.33,-2.78,-9.81,159751.02,418937.711,20160524,-0.7729,-0.019558013296195775,20160524,603703,盛洋科技,167.61753,11.114534,16.286935,0.16655,0.000341,603703.0,20160524,0.956533,1.400455,0.641689,0.373674,0.411765,0.409393,23
24,603703.SH,20160525,25.91,27.85,25.89,26.28,25.55,0.73,2.86,127562.19,340357.408,20160525,-0.2332,0.003906739648184221,20160525,603703,盛洋科技,172.406602,11.432092,16.752276,0.13299,0.000326,603703.0,20160525,0.95218,1.391734,0.639138,0.367198,0.408498,0.406113,24
25,603703.SH,20160526,25.38,25.5,24.01,25.37,26.28,-0.91,-3.46,109814.04,272606.645,20160526,0.2613,0.017588837287494163,20160526,603703,盛洋科技,166.436662,11.036232,16.172193,0.11449,0.000315,603703.0,20160526,0.947983,1.385943,0.639233,0.363967,0.408619,0.406234,25
26,603703.SH,20160527,24.99,25.8,24.7,25.15,25.37,-0.22,-0.87,98944.68,250855.262,20160527,-0.0495,-0.0006057810789785734,20160527,603703,盛洋科技,164.99338,10.94053,16.031953,0.10315,0.0003,603703.0,20160527,0.943112,1.377669,0.637849,0.358555,0.406852,0.40446,26
27,603703.SH,20160530,25.43,26.94,24.92,26.45,25.15,1.3,5.17,134180.87,351673.377,20160530,0.0498,0.006999577846472649,20160530,603703,盛洋科技,173.521865,11.506044,16.860643,0.13989,0.000293,603703.0,20160530,0.939572,1.369861,0.635845,0.353511,0.404299,0.401897,27
28,603703.SH,20160531,26.5,27.58,26.1,27.42,26.45,0.97,3.67,156792.13,422062.56,20160531,3.3363,0.05335616295916301,20160531,603703,盛洋科技,179.885427,11.928005,17.478973,0.16346,0.000283,603703.0,20160531,0.935318,1.357811,0.634268,0.348432,0.402296,0.399886,28
29,603703.SH,20160601,27.12,27.78,26.82,27.44,27.42,0.02,0.07,131283.02,359451.243,20160601,-0.1066,0.008370954367769246,20160601,603703,盛洋科技,180.016634,11.936705,17.491722,0.13687,2e-06,603703.0,20160601,0.930261,1.349365,0.632921,0.343073,0.400589,0.398172,29
30,603703.SH,20160602,27.12,27.68,26.7,27.19,27.44,-0.25,-0.91,106587.66,289129.825,20160602,0.4023,0.017357799809269325,20160602,603703,盛洋科技,178.376541,11.827952,17.332358,0.11112,1.7e-05,603703.0,20160602,0.925157,1.346202,0.635087,0.341511,0.403335,0.400929,30
31,603703.SH,20160603,27.58,27.58,26.72,26.82,27.19,-0.37,-1.36,78104.28,210282.219,20160603,0.4599,0.005273779605513118,20160603,603703,盛洋科技,175.949203,11.666998,17.096501,0.08143,3.3e-05,603703.0,20160603,0.919423,1.341843,0.629035,0.331051,0.395685,0.393248,31
32,603703.SH,20160606,26.65,27.49,26.53,27.18,26.82,0.36,1.34,75848.33,205737.063,20160606,-0.156,0.002051728818267984,20160606,603703,盛洋科技,178.310938,11.823602,17.325984,0.07908,4.1e-05,603703.0,20160606,0.916682,1.343121,0.631562,0.331674,0.398871,0.396447,32
33,603703.SH,20160607,27.0,27.48,26.68,27.31,27.18,0.13,0.48,73538.55,199485.252,20160607,0.0664,0.012226736312632491,20160607,603703,盛洋科技,179.163786,11.880154,17.408853,0.07667,3.7e-05,603703.0,20160607,0.910752,1.393666,0.654427,0.351688,0.428275,0.42597,33
34,603703.SH,20160608,27.55,29.99,27.55,28.78,27.31,1.47,5.38,154340.99,443553.58,20160608,-0.3027,-0.004128782041403434,20160608,603703,盛洋科技,188.807534,12.51962,18.345909,0.16091,5.1e-05,603703.0,20160608,0.910392,1.405905,0.659442,0.35675,0.434864,0.432585,34
35,603703.SH,20160613,27.94,29.8,27.65,27.88,28.78,-0.9,-3.13,140107.13,402943.389,20160613,-3.2143,-0.06370822012194266,20160613,603703,盛洋科技,182.903199,12.12811,17.772201,0.14607,5.5e-05,603703.0,20160613,0.910727,1.403272,0.66007,0.35766,0.435693,0.433417,35
36,603703.SH,20160614,27.15,29.1,26.8,28.95,27.88,1.07,3.84,111024.38,309541.022,20160614,0.3218,0.009783407397039312,20160614,603703,盛洋科技,189.922798,12.593572,18.454276,0.11575,6.4e-05,603703.0,20160614,0.906002,1.408591,0.665903,0.360349,0.443427,0.441183,36
